,1,2,3,4,5,6,7,8,9,10,11,12
A,PFHxA DMSO,PFHxA DMSO,PFHxA DMSO,PFHxA DMSO,PFHxA DMSO,PFHxA DMSO,MIR DMSO,MIR DMSO,MIR DMSO,MIR DMSO,MIR DMSO,MIR DMSO
B,PFHxA 1,PFHxA 1,PFHxA 1,PFHxA 1,PFHxA 1,PFHxA 1,MIR,MIR,MIR,MIR,MIR,MIR
C,PFHxA 10,PFHxA 10,PFHxA 10,PFHxA 10,PFHxA 10,PFHxA 10,WY14643 DMSO,WY14643 DMSO,WY14643 DMSO,WY14643 DMSO,WY14643 DMSO,WY14643 DMSO
D,PFHxA 25,PFHxA 25,PFHxA 25,PFHxA 25,PFHxA 25,PFHxA 25,WY14643,WY14643,WY14643,WY14643,WY14643,WY14643
E,PFHxA 50,PFHxA 50,PFHxA 50,PFHxA 50,PFHxA 50,PFHxA 50,,,,,,
G,PFHxA 100,PFHxA 100,PFHxA 100,PFHxA 100,PFHxA 100,PFHxA 100,,,,,,
H,,,,,,,,,,,,
