,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,CEBPA,CEBPA,CEBPA,b-actin,b-actin,b-actin,AhR,AhR,AhR
B,b-actin,b-actin,b-actin,CEBPA,CEBPA,CEBPA,b-actin,b-actin,b-actin,AhR,AhR,AhR
C,b-actin,b-actin,b-actin,CEBPA,CEBPA,CEBPA,b-actin,b-actin,b-actin,AhR,AhR,AhR
D,b-actin,b-actin,b-actin,CEBPA,CEBPA,CEBPA,b-actin,b-actin,b-actin,AhR,AhR,AhR
E,b-actin,b-actin,b-actin,CEBPA,CEBPA,CEBPA,b-actin,b-actin,b-actin,AhR,AhR,AhR
G,b-actin,b-actin,b-actin,CEBPA,CEBPA,CEBPA,b-actin,b-actin,b-actin,AhR,AhR,AhR
H,,,,,,,,,,,,
