,1,2,3,4,5,6,7,8,9,10,11,12
A,19.87649267,18.09192184,36.10386281,34.16069479,37.32474038,17.47027864,18.17181143,18.19108337,21.08796959,21.75447449,21.18505462,
B,19.1454471,18.22349332,36.05760423,35.23404281,35.47415525,17.69379979,17.85769462,17.99927317,21.69791699,21.91324135,21.82174488,
C,18.93494211,18.3096744,35.07300954,35.72773494,34.48628823,17.47196436,17.60790637,17.53581244,21.85898905,22.07057176,22.08704549,
D,19.06050594,18.74782246,34.45575397,35.69762625,34.23437472,17.16374857,17.49659816,17.46920436,21.53087678,21.85620748,21.64256747,
E,19.03914799,18.53699498,35.08393868,36.40811026,34.17275975,17.31103601,17.66244104,17.68264227,21.86137132,22.08036398,21.7177806,
G,21.20436308,21.88034312,36.05328461,34.33195657,34.27684795,18.48758702,18.51015361,19.59899883,22.49336596,22.08572402,21.66689952,
H,17.61804971,17.65588018,18.31173821,25.51471256,25.40096042,25.99110735,29.98035965,30.02553328,30.41445979,27.24322466,25.94401908,26.25007465
