,1,2,3,4,5,6,7,8,9,10,11,12
A,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,
B,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,
C,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,
D,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,
E,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,
G,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,50 uM Phe ,
H,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP
