,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,PPARγ,PPARγ,PPARγ
B,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,PPARγ,PPARγ,PPARγ
C,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,PPARγ,PPARγ,PPARγ
D,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,PPARγ,PPARγ,PPARγ
E,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,PPARγ,PPARγ,PPARγ
G,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,PPARγ,PPARγ,PPARγ
H,,,,,,,,,,,,
