,1,2,3,4,5,6,7,8,9,10,11,12
A,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,,,,,,
B,0.01 uM Phe ,0.01 uM Phe ,0.01 uM Phe ,0.01 uM Phe ,0.01 uM Phe ,0.01 uM Phe ,,,,,,
C,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,0.1 uM Phe ,,,,,,
D,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,1 uM Phe ,,,,,,
E,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,10 uM Phe ,,,,,,
G,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,20 uM Phe ,,,,,,
H,,,,,,,,,,,,
