,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,LPL,LPL,LPL,b-actin,b-actin,b-actin,Plin,Plin,Plin
B,b-actin,b-actin,b-actin,LPL,LPL,LPL,b-actin,b-actin,b-actin,Plin,Plin,Plin
C,b-actin,b-actin,b-actin,LPL,LPL,LPL,b-actin,b-actin,b-actin,Plin,Plin,Plin
D,b-actin,b-actin,b-actin,LPL,LPL,LPL,b-actin,b-actin,b-actin,Plin,Plin,Plin
E,b-actin,b-actin,b-actin,LPL,LPL,LPL,b-actin,b-actin,b-actin,Plin,Plin,Plin
G,b-actin,b-actin,b-actin,LPL,LPL,LPL,b-actin,b-actin,b-actin,Plin,Plin,Plin
H,,,,,,,,,,,,
