,1,2,3,4,5,6,7,8,9,10,11,12
A,27.37,28.04,27.74,19.2,,19.2,26.47,26.53,27.15,18.26,18.23,18.42
B,27.16,26.97,26.95,18.71,18.83,18.8,24.97,24.72,25.42,19.01,19.11,19.29
C,27.11,27.04,27.25,18.87,18.91,19.05,27.03,27.18,27.51,19.7,19.82,19.45
D,26.59,26.34,26.28,18.51,18.58,18.71,24.34,24.38,24.49,18.2,18.08,18.8
E,26.68,26.51,26.64,18.4,18.45,18.57,,,,,,
G,26.43,26.33,26.37,18.6,18.66,18.85,,,,,,
H,,,,,,,,,,,,
