,1,2,3,4,5,6,7,8,9,10,11,12
A,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin
B,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin
C,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin
D,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin
E,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,,,,,,
G,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,,,,,,
H,,,,,,,,,,,,
