,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4
B,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4
C,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4
D,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4
E,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4
G,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4
H,,,,,,,,,,,,
