,1,2,3,4,5,6,7,8,9,10,11,12
A,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin
B,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin
C,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin
D,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin
E,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin,,,,,,
G,Perilipin,Perilipin,Perilipin,b-actin,b-actin,b-actin,,,,,,
H,,,,,,,,,,,,
