,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
B,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
C,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
D,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
E,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
F,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
G,b-actin,b-actin,b-actin,FABP4,FABP4,FABP4,Resistin,Resistin,Resistin,AhR,AhR,AhR
H,,,,,,,,,,,,
