,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,Resistin,Resistin,Resistin,,,,,,
B,b-actin,b-actin,b-actin,Resistin,Resistin,Resistin,,,,,,
C,b-actin,b-actin,b-actin,Resistin,Resistin,Resistin,,,,,,
D,b-actin,b-actin,b-actin,Resistin,Resistin,Resistin,,,,,,
E,b-actin,b-actin,b-actin,Resistin,Resistin,Resistin,,,,,,
G,b-actin,b-actin,b-actin,Resistin,Resistin,Resistin,,,,,,
H,,,,,,,,,,,,
