,1,2,3,4,5,6,7,8,9,10,11,12
A,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con ,MIR + veh con 
B,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p,0.1 uM 9p
C,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p ,1 uM 9p 
D,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p ,10 uM 9p 
E,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p ,20 uM 9p 
F,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p ,50 uM 9p 
G,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP,20 uM BaP
H,,,,,,,,,,,,
