,1,2,3,4,5,6,7,8,9,10,11,12
A,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin
B,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin
C,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin
D,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin
E,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin
G,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin,UCP3,UCP3,UCP3,b-actin,b-actin,b-actin
H,,,,,,,,,,,,
