,1,2,3,4,5,6,7,8,9,10,11,12
A,b-actin,b-actin,b-actin,CYP1A1,CYP1A1,CYP1A1,b-actin,b-actin,b-actin,Adiponectin,Adiponectin,Adiponectin
B,b-actin,b-actin,b-actin,CYP1A1,CYP1A1,CYP1A1,b-actin,b-actin,b-actin,Adiponectin,Adiponectin,Adiponectin
C,b-actin,b-actin,b-actin,CYP1A1,CYP1A1,CYP1A1,b-actin,b-actin,b-actin,Adiponectin,Adiponectin,Adiponectin
D,b-actin,b-actin,b-actin,CYP1A1,CYP1A1,CYP1A1,b-actin,b-actin,b-actin,Adiponectin,Adiponectin,Adiponectin
E,b-actin,b-actin,b-actin,CYP1A1,CYP1A1,CYP1A1,b-actin,b-actin,b-actin,Adiponectin,Adiponectin,Adiponectin
G,b-actin,b-actin,b-actin,CYP1A1,CYP1A1,CYP1A1,b-actin,b-actin,b-actin,Adiponectin,Adiponectin,Adiponectin
H,,,,,,,,,,,,
